L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.82973,1.050742,1.051882,1.018517,0.304857,0.508839,0.511712,0.464207,0.575782,0.543866,0.591102,0.65031,0.406099,0.434612,0.384824,0.331488,0.078196,0.056091,0.067488,0.043878,0.140215,0.049804,0.056339,0.044561
0.827466,1.048541,1.049621,1.016232,0.303989,0.50672,0.509614,0.462207,0.575913,0.543933,0.591204,0.650501,0.406084,0.43473,0.384945,0.3315,0.07821,0.056017,0.067247,0.04378,0.142353,0.049788,0.05632,0.044919
0.825052,1.046193,1.04721,1.013794,0.303127,0.504477,0.507403,0.460086,0.576046,0.544003,0.591311,0.650698,0.406083,0.434857,0.38507,0.331519,0.078219,0.055945,0.067001,0.043679,0.14468,0.049777,0.056307,0.045323
0.822499,1.043709,1.044661,1.011217,0.302295,0.502129,0.505099,0.457861,0.576178,0.544076,0.591422,0.650902,0.406098,0.434991,0.385198,0.331548,0.078222,0.055876,0.066754,0.043575,0.147197,0.049776,0.056304,0.045778
0.819825,1.041105,1.041991,1.008519,0.301518,0.499696,0.502723,0.455553,0.576307,0.54415,0.591535,0.651107,0.406132,0.435133,0.385327,0.331588,0.078218,0.055811,0.06651,0.043469,0.1499,0.049789,0.056313,0.04629
0.817046,1.038394,1.039215,1.005715,0.30082,0.497201,0.500297,0.453183,0.57643,0.544224,0.591647,0.651313,0.406189,0.43528,0.385458,0.331638,0.078205,0.05575,0.066273,0.043364,0.152785,0.049819,0.056341,0.046864
0.814179,1.035592,1.036348,1.002825,0.300224,0.494663,0.497841,0.450773,0.576544,0.544298,0.591758,0.651518,0.406268,0.435431,0.385592,0.331698,0.078182,0.055695,0.066045,0.043259,0.155846,0.049873,0.056393,0.047508
0.81124,1.032715,1.033407,0.999865,0.29975,0.492104,0.495374,0.448343,0.576648,0.54437,0.591865,0.651718,0.406372,0.435585,0.385729,0.331767,0.07815,0.055643,0.065828,0.043156,0.159076,0.049957,0.056476,0.048228
0.808244,1.029773,1.030404,0.996848,0.299415,0.489541,0.492914,0.445912,0.576739,0.544439,0.591967,0.651912,0.4065,0.435739,0.385869,0.331846,0.078106,0.055596,0.065623,0.043055,0.162468,0.050079,0.056595,0.049032
0.805204,1.02678,1.027352,0.993789,0.299235,0.486992,0.490477,0.443499,0.576815,0.544505,0.592062,0.652097,0.406652,0.435892,0.386012,0.331933,0.078052,0.055552,0.065433,0.042959,0.166017,0.050245,0.05676,0.049926
